ACM	CutSSL	75.84134615384616,76.74278846153845,75.18028846153845,76.14182692307693,76.80288461538461,75.42067307692307,74.81971153846155,76.38221153846155,76.6826923076923,80.46875,76.50240384615384,75.96153846153845,75.60096153846155,77.88461538461539,76.74278846153845,76.92307692307693,76.4423076923077,76.4423076923077,76.38221153846155,76.98317307692307,76.6826923076923,75.1201923076923,76.26201923076923,76.50240384615384,76.74278846153845,75.1201923076923,76.62259615384616,79.8076923076923,77.16346153846155,77.04326923076923,77.4639423076923,76.5625,77.64423076923077,75.24038461538461,75.06009615384616,76.62259615384616,75.1201923076923,77.2235576923077,75.36057692307693,76.62259615384616,75.96153846153845,36.35817307692308,76.26201923076923,79.6875,78.42548076923077,76.80288461538461,78.48557692307693,76.38221153846155,74.93990384615384,76.4423076923077,76.14182692307693,75.30048076923077,75.54086538461539,77.10336538461539,76.26201923076923,75.42067307692307,80.28846153846155,76.6826923076923,75.6610576923077,75.96153846153845,76.62259615384616,75.06009615384616,77.4639423076923,79.08653846153845,76.08173076923077,77.28365384615384,75.36057692307693,74.21875,75.48076923076923,76.20192307692307,76.98317307692307,76.32211538461539,74.51923076923077,76.92307692307693,77.28365384615384,77.52403846153845,75.96153846153845,32.99278846153847,81.18990384615384,77.64423076923077,76.32211538461539,77.04326923076923,82.63221153846155,75.42067307692307,76.4423076923077,75.36057692307693,76.38221153846155,77.64423076923077,77.04326923076923,76.08173076923077,75.84134615384616,77.58413461538461,77.94471153846155,76.86298076923077,74.3389423076923,75.78125,77.2235576923077,78.2451923076923,75.42067307692307,75.54086538461539
BAT	CutSSL	57.534246575342465,53.42465753424658,39.726027397260275,53.42465753424658,54.794520547945204,57.534246575342465,49.31506849315068,52.054794520547944,47.94520547945205,54.794520547945204,54.794520547945204,47.94520547945205,56.16438356164384,50.68493150684932,53.42465753424658,50.68493150684932,46.57534246575342,49.31506849315068,49.31506849315068,53.42465753424658,53.42465753424658,50.68493150684932,56.16438356164384,52.054794520547944,50.68493150684932,57.534246575342465,49.31506849315068,56.16438356164384,57.534246575342465,56.16438356164384,52.054794520547944,57.534246575342465,54.794520547945204,54.794520547945204,50.68493150684932,52.054794520547944,56.16438356164384,50.68493150684932,50.68493150684932,54.794520547945204,54.794520547945204,43.83561643835616,53.42465753424658,52.054794520547944,42.465753424657535,52.054794520547944,57.534246575342465,54.794520547945204,52.054794520547944,47.94520547945205,54.794520547945204,45.20547945205479,47.94520547945205,56.16438356164384,56.16438356164384,54.794520547945204,50.68493150684932,52.054794520547944,53.42465753424658,52.054794520547944,57.534246575342465,47.94520547945205,46.57534246575342,53.42465753424658,54.794520547945204,54.794520547945204,53.42465753424658,50.68493150684932,52.054794520547944,46.57534246575342,52.054794520547944,53.42465753424658,53.42465753424658,57.534246575342465,57.534246575342465,47.94520547945205,47.94520547945205,49.31506849315068,53.42465753424658,56.16438356164384,52.054794520547944,54.794520547945204,47.94520547945205,57.534246575342465,52.054794520547944,53.42465753424658,45.20547945205479,52.054794520547944,58.9041095890411,52.054794520547944,52.054794520547944,52.054794520547944,52.054794520547944,57.534246575342465,49.31506849315068,50.68493150684932,53.42465753424658,54.794520547945204,58.9041095890411,49.31506849315068
DBLP	CutSSL	58.18018825638727,57.73195876288659,57.19408337068579,56.11833258628418,57.866427610936796,58.090542357687134,53.608247422680414,53.384132675930076,57.82160466158673,57.46302106678619,54.325414612281484,55.04258180188256,56.92514567458539,55.71492604213357,58.225011205737346,56.02868668758404,57.41819811743613,58.04571940833707,57.014791573285514,55.894217839533844,55.04258180188256,54.05647691618108,58.090542357687134,55.401165396683105,55.04258180188256,56.656207978484986,53.78753922008068,57.46302106678619,57.866427610936796,58.67324069923801,58.404303003137606,55.17705064993277,57.28372926938593,54.7288211564321,57.73195876288659,55.401165396683105,59.21111609143882,54.9977588525325,57.642312864186465,55.894217839533844,54.19094576423129,55.087404751232626,55.580457194083365,56.96996862393545,57.82160466158673,56.79067682653519,56.96996862393545,56.47691618108471,53.608247422680414,54.77364410578216,56.70103092783505,57.50784401613627,57.19408337068579,59.12147019273868,58.53877185118781,55.22187359928283,55.44598834603317,54.908112953832365,53.56342447333034,56.47691618108471,56.74585387718511,58.71806364858808,56.43209323173465,55.311519497982964,56.74585387718511,58.49394890183775,56.92514567458539,55.5356342447333,53.51860152398028,56.02868668758404,57.10443747198566,56.25280143433437,56.92514567458539,53.42895562528014,58.31465710443747,55.311519497982964,54.325414612281484,56.92514567458539,55.17705064993277,56.07350963693412,53.51860152398028,58.04571940833707,55.22187359928283,57.23890632003585,55.22187359928283,58.18018825638727,57.41819811743613,56.56656207978485,55.75974899148364,55.087404751232626,57.37337516808606,53.92200806813088,58.583594800537874,56.07350963693412,58.53877185118781,53.608247422680414,55.35634244733303,58.090542357687134,58.404303003137606,57.46302106678619
EAT	CutSSL	39.908256880733944,43.57798165137615,42.201834862385326,44.03669724770643,41.74311926605505,44.03669724770643,42.6605504587156,42.201834862385326,43.57798165137615,41.74311926605505,42.6605504587156,42.6605504587156,38.99082568807339,41.284403669724774,48.62385321100918,45.87155963302752,43.57798165137615,38.53211009174312,39.908256880733944,41.284403669724774,44.03669724770643,42.201834862385326,41.74311926605505,44.03669724770643,40.825688073394495,45.87155963302752,44.03669724770643,43.11926605504588,41.284403669724774,43.57798165137615,44.4954128440367,39.44954128440367,40.36697247706422,40.825688073394495,41.74311926605505,41.284403669724774,41.284403669724774,44.4954128440367,41.284403669724774,42.6605504587156,40.36697247706422,43.57798165137615,43.11926605504588,45.87155963302752,42.201834862385326,39.44954128440367,39.44954128440367,42.201834862385326,41.74311926605505,47.24770642201835,41.74311926605505,44.03669724770643,40.825688073394495,45.87155963302752,40.825688073394495,41.74311926605505,40.36697247706422,44.03669724770643,43.57798165137615,43.57798165137615,41.74311926605505,40.36697247706422,41.284403669724774,41.74311926605505,40.36697247706422,41.284403669724774,40.825688073394495,44.95412844036697,40.825688073394495,42.6605504587156,44.4954128440367,42.201834862385326,40.825688073394495,37.61467889908257,44.95412844036697,41.284403669724774,44.95412844036697,41.284403669724774,42.6605504587156,40.825688073394495,42.6605504587156,44.03669724770643,41.284403669724774,41.284403669724774,42.201834862385326,41.284403669724774,41.74311926605505,40.825688073394495,41.74311926605505,47.24770642201835,42.201834862385326,42.201834862385326,42.6605504587156,40.825688073394495,42.201834862385326,45.412844036697244,44.4954128440367,45.412844036697244,44.03669724770643,42.201834862385326
UAT	CutSSL	62.02143950995406,55.895865237366,59.264931087289426,57.12098009188361,58.34609494640123,60.18376722817764,57.733537519142416,57.88667687595712,56.814701378254206,60.03062787136294,58.95865237366002,58.80551301684533,57.12098009188361,56.04900459418071,55.895865237366,61.86830015313936,56.814701378254206,56.814701378254206,61.40888208269525,58.95865237366002,61.40888208269525,60.49004594180705,60.49004594180705,59.724349157733535,57.58039816232772,57.733537519142416,58.03981623277183,56.04900459418071,57.42725880551301,57.12098009188361,60.33690658499234,58.80551301684533,62.32771822358346,58.03981623277183,56.202143950995406,57.88667687595712,56.04900459418071,60.18376722817764,58.03981623277183,57.58039816232772,57.88667687595712,56.661562021439515,56.661562021439515,58.49923430321593,55.742725880551305,57.274119448698315,59.87748851454824,58.03981623277183,57.733537519142416,58.49923430321593,59.11179173047473,57.274119448698315,60.03062787136294,57.58039816232772,56.50842266462482,61.86830015313936,61.56202143950995,56.96784073506891,55.4364471669219,54.05819295558959,59.41807044410413,58.34609494640123,58.192955589586525,58.49923430321593,58.80551301684533,57.42725880551301,56.04900459418071,60.33690658499234,56.50842266462482,57.88667687595712,57.733537519142416,59.264931087289426,57.58039816232772,58.80551301684533,58.652373660030634,56.50842266462482,57.733537519142416,59.11179173047473,58.49923430321593,59.57120980091884,59.11179173047473,56.04900459418071,59.264931087289426,58.95865237366002,57.274119448698315,59.264931087289426,58.95865237366002,60.33690658499234,57.88667687595712,58.652373660030634,57.58039816232772,60.18376722817764,59.87748851454824,57.88667687595712,59.41807044410413,55.4364471669219,54.97702909647779,61.86830015313936,58.192955589586525,59.57120980091884
Wiki	CutSSL	70.49924357034796,70.5748865355522,69.28895612708018,69.44024205748866,68.91074130105899,69.06202723146747,67.54916792738275,68.15431164901665,69.1376701966717,69.51588502269288,68.83509833585477,69.28895612708018,71.18003025718608,68.38124054462935,70.19667170953102,67.70045385779122,69.1376701966717,69.7428139183056,70.72617246596067,68.75945537065053,70.65052950075643,67.62481089258698,70.5748865355522,69.51588502269288,70.65052950075643,68.75945537065053,6.051437216338881,68.45688350983359,70.87745839636914,70.19667170953102,70.04538577912254,69.9697428139183,7.94251134644478,69.28895612708018,68.91074130105899,67.32223903177005,70.49924357034796,71.48260211800303,70.42360060514372,70.42360060514372,70.04538577912254,69.1376701966717,69.51588502269288,68.83509833585477,69.36459909228442,67.17095310136158,68.15431164901665,70.49924357034796,67.09531013615734,69.9697428139183,69.9697428139183,70.42360060514372,70.80181543116491,67.24659606656581,68.30559757942511,68.38124054462935,68.22995461422087,68.91074130105899,69.1376701966717,68.98638426626323,68.22995461422087,68.75945537065053,69.06202723146747,68.83509833585477,68.98638426626323,71.25567322239031,70.49924357034796,68.15431164901665,69.36459909228442,70.87745839636914,66.03630862329804,68.75945537065053,5.3706505295007565,68.07866868381241,69.51588502269288,68.22995461422087,70.87745839636914,67.8517397881997,69.89409984871406,71.63388804841149,67.77609682299546,69.9697428139183,68.38124054462935,72.01210287443268,69.28895612708018,68.83509833585477,69.59152798789712,69.21331316187594,70.04538577912254,70.19667170953102,70.34795763993948,69.89409984871406,70.42360060514372,69.28895612708018,68.07866868381241,68.60816944024207,68.91074130105899,69.36459909228442,69.1376701966717,6.127080181543117
Gene	CutSSL	77.92421746293246,80.56013179571664,80.0658978583196,81.21911037891269,83.19604612850083,79.9011532125206,81.21911037891269,78.91268533772653,79.24217462932455,82.8665568369028,81.71334431630972,79.73640856672158,76.60626029654037,80.0658978583196,77.59472817133442,81.71334431630972,79.57166392092257,81.87808896210873,81.38385502471169,79.40691927512356,79.9011532125206,82.70181219110378,77.75947281713344,80.23064250411862,79.24217462932455,80.23064250411862,80.23064250411862,80.56013179571664,78.91268533772653,78.91268533772653,80.0658978583196,83.19604612850083,81.54859967051071,78.91268533772653,80.88962108731467,79.57166392092257,82.37232289950576,81.21911037891269,79.57166392092257,82.53706754530478,81.38385502471169,81.21911037891269,79.9011532125206,81.87808896210873,80.0658978583196,83.19604612850083,82.04283360790774,77.75947281713344,80.39538714991762,80.88962108731467,77.26523887973642,81.21911037891269,81.05436573311367,81.05436573311367,78.41845140032949,83.85502471169687,78.08896210873147,78.25370675453048,84.1845140032949,78.5831960461285,80.0658978583196,80.56013179571664,81.05436573311367,83.03130148270182,82.8665568369028,83.03130148270182,79.57166392092257,79.07742998352553,77.75947281713344,81.05436573311367,84.01976935749587,82.37232289950576,81.21911037891269,81.05436573311367,81.87808896210873,82.04283360790774,79.07742998352553,75.94728171334431,78.91268533772653,79.73640856672158,79.07742998352553,81.05436573311367,82.37232289950576,81.21911037891269,83.36079077429983,79.40691927512356,78.25370675453048,80.23064250411862,80.39538714991762,79.73640856672158,81.21911037891269,81.05436573311367,79.57166392092257,80.23064250411862,84.84349258649094,75.94728171334431,81.38385502471169,81.21911037891269,82.04283360790774,80.0658978583196
IIP	CutSSL	70.83333333333334,70.0,71.66666666666667,70.83333333333334,68.33333333333333,70.0,66.66666666666666,68.33333333333333,73.33333333333333,65.83333333333333,69.16666666666667,66.66666666666666,69.16666666666667,71.66666666666667,71.66666666666667,74.16666666666667,71.66666666666667,66.66666666666666,68.33333333333333,70.0,70.83333333333334,68.33333333333333,70.83333333333334,69.16666666666667,72.5,74.16666666666667,72.5,69.16666666666667,72.5,70.83333333333334,67.5,72.5,68.33333333333333,75.83333333333333,75.83333333333333,69.16666666666667,67.5,66.66666666666666,72.5,67.5,66.66666666666666,65.83333333333333,68.33333333333333,67.5,69.16666666666667,68.33333333333333,71.66666666666667,78.33333333333333,71.66666666666667,76.66666666666667,69.16666666666667,72.5,69.16666666666667,76.66666666666667,74.16666666666667,70.0,70.83333333333334,70.83333333333334,66.66666666666666,66.66666666666666,70.0,67.5,74.16666666666667,65.0,73.33333333333333,73.33333333333333,70.83333333333334,70.83333333333334,72.5,69.16666666666667,72.5,72.5,72.5,71.66666666666667,66.66666666666666,73.33333333333333,68.33333333333333,72.5,66.66666666666666,69.16666666666667,73.33333333333333,73.33333333333333,69.16666666666667,70.0,66.66666666666666,70.83333333333334,70.0,70.0,71.66666666666667,71.66666666666667,70.83333333333334,67.5,71.66666666666667,66.66666666666666,68.33333333333333,65.0,68.33333333333333,72.5,70.83333333333334,74.16666666666667
lastfm	CutSSL	87.83977110157367,87.24368144969003,87.86361468764903,87.88745827372438,87.86361468764903,86.76680972818312,87.41058655221745,87.50596089651884,87.26752503576537,87.64902241297091,87.26752503576537,86.88602765855985,87.14830710538865,87.0767763471626,87.57749165474488,86.79065331425846,87.1244635193133,87.172150691464,88.0066762041011,87.31521220791608,87.24368144969003,87.1244635193133,87.86361468764903,87.38674296614211,87.81592751549833,88.05436337625179,87.29136862184073,87.76824034334764,87.36289938006676,87.05293276108726,87.55364806866953,87.10061993323795,87.6967095851216,87.62517882689556,87.38674296614211,88.1735813066285,87.60133524082022,86.93371483071054,87.26752503576537,87.0767763471626,87.7443967572723,87.64902241297091,87.33905579399142,86.95755841678589,87.02908917501192,87.00524558893657,87.31521220791608,87.50596089651884,87.33905579399142,87.62517882689556,88.12589413447782,87.62517882689556,87.72055317119694,87.86361468764903,87.50596089651884,87.36289938006676,87.41058655221745,87.57749165474488,87.05293276108726,87.81592751549833,87.4344301382928,86.95755841678589,88.12589413447782,87.36289938006676,87.21983786361469,87.57749165474488,87.52980448259419,87.6967095851216,87.62517882689556,87.50596089651884,86.71912255603243,87.76824034334764,86.98140200286123,86.86218407248451,87.45827372436814,86.62374821173104,87.48211731044348,87.41058655221745,87.64902241297091,87.31521220791608,87.14830710538865,87.93514544587507,86.88602765855985,86.64759179780638,87.36289938006676,87.45827372436814,87.79208392942299,87.57749165474488,87.33905579399142,86.76680972818312,87.45827372436814,87.14830710538865,87.76824034334764,87.86361468764903,86.88602765855985,87.64902241297091,87.24368144969003,87.79208392942299,87.36289938006676,86.40915593705293
polblogs	CutSSL	94.79940564635957,95.54234769687965,95.39375928677563,95.24517087667161,95.24517087667161,95.0965824665676,95.98811292719168,95.69093610698366,95.0965824665676,95.83952451708767,95.39375928677563,95.69093610698366,96.43387815750371,94.79940564635957,95.0965824665676,94.94799405646359,96.13670133729569,94.65081723625556,94.50222882615155,97.02823179791976,95.54234769687965,95.98811292719168,94.65081723625556,96.43387815750371,95.39375928677563,95.54234769687965,94.79940564635957,95.83952451708767,95.69093610698366,95.24517087667161,95.24517087667161,95.54234769687965,95.69093610698366,95.69093610698366,95.69093610698366,94.94799405646359,95.39375928677563,95.24517087667161,95.69093610698366,94.35364041604754,95.83952451708767,95.54234769687965,95.24517087667161,95.69093610698366,95.69093610698366,94.79940564635957,95.39375928677563,95.39375928677563,95.83952451708767,95.24517087667161,96.13670133729569,95.0965824665676,94.65081723625556,95.98811292719168,94.94799405646359,94.94799405646359,95.0965824665676,95.54234769687965,94.50222882615155,94.65081723625556,95.54234769687965,95.54234769687965,95.24517087667161,94.79940564635957,95.0965824665676,95.98811292719168,95.39375928677563,95.83952451708767,94.79940564635957,94.65081723625556,94.35364041604754,95.69093610698366,95.0965824665676,95.24517087667161,94.20505200594353,94.94799405646359,95.0965824665676,95.39375928677563,95.69093610698366,94.20505200594353,94.94799405646359,94.94799405646359,95.98811292719168,95.83952451708767,96.13670133729569,94.65081723625556,95.39375928677563,96.2852897473997,96.43387815750371,96.2852897473997,96.43387815750371,95.83952451708767,96.13670133729569,95.39375928677563,95.69093610698366,95.24517087667161,94.79940564635957,95.69093610698366,94.94799405646359,94.05646359583952
