0.0	GEE	0.13985085487365723,0.13742804527282715,0.09174919128417969,0.09320592880249023,0.0937960147857666,0.11263680458068848,0.09504413604736328,0.3456611633300781,0.09571504592895508,0.09565591812133789,0.09669876098632812,0.11083006858825684,0.10256505012512207,0.1042780876159668,0.1058969497680664,0.10153484344482422,0.1079721450805664,0.12841200828552246,0.11892008781433105,0.1175539493560791,0.11854290962219238,0.12510108947753906,0.1497049331665039,0.1267547607421875,0.12917208671569824,0.12530994415283203,0.12224888801574707,0.1238548755645752,0.12406516075134277,0.1271519660949707,0.12107086181640625,0.12613916397094727,0.12260293960571289,0.12563395500183105,0.12946486473083496,0.12186074256896973,0.12585020065307617,0.13811516761779785,0.12408614158630371,0.12249970436096191,0.13802504539489746,0.14520573616027832,0.11755013465881348,0.12128901481628418,0.12858271598815918,0.14148592948913574,0.11735105514526367,0.1182253360748291,0.12403106689453125,0.32809901237487793
0.0	GNN	2.6184539794921875,2.6703410148620605,1.1665570735931396,2.3164098262786865,1.617008924484253,1.4172918796539307,1.9749259948730469,2.5764970779418945,0.8669469356536865,1.3251371383666992,1.7509229183197021,1.2718780040740967,3.9795379638671875,2.9577791690826416,1.1328811645507812,2.11655330657959,0.8645370006561279,1.6144559383392334,2.703526258468628,1.2947628498077393,2.0944271087646484,1.0690670013427734,1.6593902111053467,2.9690558910369873,0.9711940288543701,2.391731023788452,0.7934257984161377,1.734433650970459,1.9818668365478516,1.6834089756011963,0.6723921298980713,1.2505829334259033,1.6783239841461182,2.174139976501465,2.2077419757843018,1.8252801895141602,2.027338981628418,4.385169982910156,2.192188024520874,2.3340940475463867,2.097892999649048,3.576643228530884,1.8610148429870605,1.767993688583374,4.20878791809082,1.515509843826294,1.2827327251434326,1.9324333667755127,1.050551176071167,1.484010934829712
0.0	GG	0.07488203048706055,0.07611799240112305,0.08165097236633301,0.07413077354431152,0.07686281204223633,0.07548117637634277,0.07607293128967285,0.07509374618530273,0.07618117332458496,0.07570004463195801,0.08193278312683105,0.30759096145629883,0.08022117614746094,0.0818319320678711,0.07799768447875977,0.0831449031829834,0.07972311973571777,0.08671689033508301,0.08971500396728516,0.08887505531311035,0.08952808380126953,0.09160399436950684,0.09403014183044434,0.3761560916900635,0.09447813034057617,0.0953361988067627,0.09444403648376465,0.9574868679046631,0.09544491767883301,0.18246698379516602,0.09453606605529785,0.09851908683776855,0.0956721305847168,0.0945589542388916,0.09514975547790527,0.09403586387634277,0.0934760570526123,0.09400510787963867,0.0956411361694336,0.09179496765136719,0.08977198600769043,0.09247684478759766,0.17656302452087402,0.08931469917297363,0.08973312377929688,0.08687400817871094,0.5218138694763184,0.440993070602417,0.08454394340515137,0.09967803955078125
0.0	GG2	0.07488203048706055,0.07611799240112305,0.08165097236633301,0.07413077354431152,0.07686281204223633,0.07548117637634277,0.07607293128967285,0.07509374618530273,0.07618117332458496,0.07570004463195801,0.08193278312683105,0.30759096145629883,0.08022117614746094,0.0818319320678711,0.07799768447875977,0.0831449031829834,0.07972311973571777,0.08671689033508301,0.08971500396728516,0.08887505531311035,0.08952808380126953,0.09160399436950684,0.09403014183044434,0.3761560916900635,0.09447813034057617,0.0953361988067627,0.09444403648376465,0.9574868679046631,0.09544491767883301,0.18246698379516602,0.09453606605529785,0.09851908683776855,0.0956721305847168,0.0945589542388916,0.09514975547790527,0.09403586387634277,0.0934760570526123,0.09400510787963867,0.0956411361694336,0.09179496765136719,0.08977198600769043,0.09247684478759766,0.17656302452087402,0.08931469917297363,0.08973312377929688,0.08687400817871094,0.5218138694763184,0.440993070602417,0.08454394340515137,0.09967803955078125
0.01	GEE	0.44036006927490234,0.16110587120056152,0.7403750419616699,0.7272047996520996,0.7820789813995361,0.8775579929351807,0.6233499050140381,0.8318629264831543,0.747089147567749,0.19686603546142578,0.16638612747192383,0.15224623680114746,0.17236018180847168,0.1550908088684082,0.17061591148376465,0.1588897705078125,0.1688709259033203,0.1690051555633545,0.15882492065429688,0.19676685333251953,0.1600658893585205,0.15348505973815918,0.1848900318145752,0.38216114044189453,0.17897701263427734,0.1579129695892334,0.16464710235595703,0.16813397407531738,0.9543681144714355,0.5427358150482178,0.9978032112121582,0.552358865737915,0.1531999111175537,0.1683347225189209,0.18001508712768555,0.15100908279418945,0.15306305885314941,0.15575408935546875,0.15630817413330078,0.15982794761657715,0.18932104110717773,0.1661999225616455,0.15347504615783691,0.20627808570861816,0.18851089477539062,0.17925596237182617,0.1692509651184082,0.14059019088745117,0.15116190910339355,0.1534111499786377
0.01	GNN	3.2673568725585938,6.789468050003052,2.880216121673584,3.3454477787017822,4.55627965927124,2.5308990478515625,3.108427047729492,2.952169179916382,2.74118971824646,2.598473072052002,2.4400172233581543,3.0218801498413086,4.59349799156189,2.3445119857788086,6.555779933929443,3.774583101272583,4.105366945266724,2.5708529949188232,2.2490458488464355,4.491372108459473,3.752960681915283,3.5108511447906494,2.813734769821167,1.6350007057189941,2.5745749473571777,3.3702940940856934,3.3353569507598877,5.709371328353882,5.62245512008667,3.8931362628936768,5.135612964630127,5.705176115036011,5.088671922683716,5.347754001617432,3.3000528812408447,3.8884708881378174,2.4897947311401367,2.693450927734375,2.18123197555542,3.6812682151794434,6.217501878738403,2.3566253185272217,3.2627081871032715,3.8315279483795166,4.874535799026489,3.878805160522461,3.128988027572632,2.17036509513855,4.742731094360352,4.255066156387329
0.01	GG	0.09317708015441895,0.807873010635376,2.7987778186798096,0.17817115783691406,0.17918777465820312,0.09158086776733398,0.35369133949279785,0.8850817680358887,0.27404093742370605,3.960127115249634,1.360044240951538,0.45969319343566895,0.1788489818572998,3.460538148880005,7.534667015075684,0.09067416191101074,1.7385127544403076,0.46077513694763184,1.1696970462799072,0.8133449554443359,0.09430670738220215,0.09244418144226074,0.8709819316864014,0.819814920425415,0.09168004989624023,9.89561915397644,0.09392738342285156,0.5301146507263184,0.08834004402160645,1.31986403465271,0.8778276443481445,0.7303729057312012,8.674501180648804,7.150398254394531,0.46640992164611816,0.5397686958312988,0.3675210475921631,0.6289651393890381,0.4514193534851074,0.09450125694274902,0.8183460235595703,0.44957995414733887,0.371734619140625,0.6496059894561768,0.5512280464172363,0.462188720703125,0.6309378147125244,0.371906042098999,0.09117317199707031,4.257405996322632
0.01	GG2	0.09317708015441895,0.807873010635376,2.7987778186798096,0.17817115783691406,0.17918777465820312,0.09158086776733398,0.35369133949279785,0.8850817680358887,0.27404093742370605,3.960127115249634,1.360044240951538,0.45969319343566895,0.1788489818572998,3.460538148880005,7.534667015075684,0.09067416191101074,1.7385127544403076,0.46077513694763184,1.1696970462799072,0.8133449554443359,0.09430670738220215,0.09244418144226074,0.8709819316864014,0.819814920425415,0.09168004989624023,9.89561915397644,0.09392738342285156,0.5301146507263184,0.08834004402160645,1.31986403465271,0.8778276443481445,0.7303729057312012,8.674501180648804,7.150398254394531,0.46640992164611816,0.5397686958312988,0.3675210475921631,0.6289651393890381,0.4514193534851074,0.09450125694274902,0.8183460235595703,0.44957995414733887,0.371734619140625,0.6496059894561768,0.5512280464172363,0.462188720703125,0.6309378147125244,0.371906042098999,0.09117317199707031,4.257405996322632
0.02	GEE	0.17522287368774414,0.1762840747833252,0.18469715118408203,0.1944727897644043,0.16524696350097656,0.16645479202270508,0.18945789337158203,0.18255186080932617,0.1836528778076172,0.17299699783325195,0.1914970874786377,0.19608712196350098,0.1789708137512207,0.18172025680541992,0.1658947467803955,0.16055607795715332,0.16011500358581543,0.15436792373657227,0.3608269691467285,0.17911171913146973,0.18005990982055664,0.15526819229125977,0.16971206665039062,0.1703031063079834,0.17007803916931152,0.18742990493774414,0.16695499420166016,0.16848087310791016,0.1710059642791748,0.17548894882202148,0.18663501739501953,0.16562294960021973,0.1573941707611084,0.1733870506286621,0.18974685668945312,0.15856695175170898,0.18450212478637695,0.17539000511169434,0.18635296821594238,0.1753830909729004,0.16848397254943848,0.17716693878173828,0.17403912544250488,0.17595171928405762,0.17906999588012695,0.16484594345092773,0.16387200355529785,0.1680281162261963,0.1800382137298584,0.16196203231811523
0.02	GNN	3.560051918029785,4.286993741989136,4.188966751098633,3.507469892501831,3.852161169052124,3.896695852279663,2.5824029445648193,3.601980209350586,7.366235971450806,3.6127138137817383,4.107149124145508,3.3172812461853027,8.195011138916016,2.9156198501586914,3.8807570934295654,6.037398099899292,3.7778429985046387,3.066160202026367,2.8159549236297607,2.187506914138794,3.6342549324035645,3.614798069000244,4.922428131103516,4.49604606628418,5.793632984161377,4.2896339893341064,8.824960947036743,2.9054880142211914,4.385325193405151,4.64067006111145,7.380609035491943,3.7988100051879883,5.173835039138794,3.0521657466888428,7.020627021789551,5.209106922149658,5.856328248977661,3.763047933578491,3.5338401794433594,4.094218015670776,3.806330919265747,2.8317079544067383,5.115460157394409,3.524946928024292,3.0701639652252197,4.792302131652832,2.877925157546997,5.807535886764526,2.9422478675842285,5.337964057922363
